OID_,OBJECTID,NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,POPULATION,POP_SQMI,POP2010,POP10_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,NO_FARMS12,AVE_SIZE12,CROP_ACR12,AVE_SALE12,SQMI,Shape_Leng,SHAPE_Length,SHAPE_Area
113,113,Canyon,Idaho,16,027,16027,213854,354.399999999999977,188923,313.000000000000000,156750,1077,2028,1519,402,45069,21469,5678,93506,95417,17143,17141,16167,14784,11957,26246,24339,22386,18364,11575,6069,2752,31.699999999999999,30.899999999999999,32.399999999999999,63604,2.920000000000000,5668,7147,18516,17558,2510,5711,47481,3.360000000000000,69409,5805,44846,18758,2331.000000000000000,130.000000000000000,217846.000000000000000,220388.000000000000000,603.509999999999991,2.169550806820000,2.169550797338416,0.174306993374000
115,115,Ada,Idaho,16,001,16001,454935,429.100000000000023,392365,370.100000000000023,354347,4441,2610,9407,861,27905,9529,11170,196501,195864,28357,30064,28846,26503,25712,57613,55825,55081,43316,22789,12414,5845,34.799999999999997,34.100000000000001,35.600000000000001,148445,2.580000000000000,16407,20768,37499,40309,4341,10253,99282,3.110000000000000,159471,11026,101639,46806,1233.000000000000000,117.000000000000000,53441.000000000000000,179229.000000000000000,1060.279999999999973,2.395314631830000,2.395314632798126,0.305365423938000
116,116,Elmore,Idaho,16,039,16039,26631,8.600000000000000,27038,8.699999999999999,22213,733,270,768,105,4118,1830,1119,13971,13067,2508,2091,1888,1909,2729,4238,3159,3365,2435,1583,833,300,30.000000000000000,29.000000000000000,31.399999999999999,10140,2.600000000000000,1287,1122,2795,2945,304,753,7135,3.110000000000000,12162,2022,6185,3955,349.000000000000000,988.000000000000000,117855.000000000000000,1004535.000000000000000,3100.780000000000200,5.675743117580000,5.675736712903911,0.891639526017000
117,117,Owyhee,Idaho,16,073,16073,11940,1.600000000000000,11526,1.500000000000000,8757,23,495,62,1,2979,1916,272,5895,5631,886,940,967,873,630,1338,1343,1566,1371,955,492,165,35.899999999999999,35.600000000000001,36.200000000000003,4076,2.790000000000000,523,415,1081,1255,135,262,2954,3.290000000000000,4781,705,2856,1220,578.000000000000000,1295.000000000000000,140719.000000000000000,504424.000000000000000,7696.939999999999600,7.274981603350000,7.274981593978452,2.186081092440000
184,184,Camas,Idaho,16,025,16025,1070,1.000000000000000,1117,1.000000000000000,1051,3,6,1,0,75,20,36,582,535,63,72,69,54,37,144,127,198,175,122,33,23,44.399999999999999,45.200000000000003,43.399999999999999,487,2.290000000000000,89,49,97,177,22,18,326,2.770000000000000,831,344,374,113,114.000000000000000,1471.000000000000000,82688.000000000000000,189499.000000000000000,1079.089999999999918,2.964346151980000,2.964346147219967,0.310845625617000
185,185,Gooding,Idaho,16,047,16047,15790,21.500000000000000,15464,21.100000000000001,12481,37,127,72,11,4344,2368,368,7999,7465,1288,1311,1227,1181,906,1938,1759,1932,1594,1238,809,281,34.399999999999999,33.299999999999997,35.799999999999997,5531,2.790000000000000,636,705,1475,1645,202,360,3927,3.320000000000000,6093,562,3654,1877,596.000000000000000,402.000000000000000,150659.000000000000000,1581904.000000000000000,734.039999999999964,2.121938373750000,2.121938367148668,0.209772207953000
186,186,Jerome,Idaho,16,053,16053,23112,38.399999999999999,22374,37.200000000000003,17904,62,302,76,17,6929,3532,481,11429,10945,2131,1939,1760,1782,1449,3078,2630,2815,2283,1400,828,279,31.800000000000001,31.300000000000001,32.299999999999997,7540,2.950000000000000,723,804,2287,2141,340,525,5656,3.390000000000000,8101,561,5002,2538,560.000000000000000,336.000000000000000,148878.000000000000000,1101944.000000000000000,602.090000000000032,1.998458162350000,1.998458160703643,0.171292750628000
187,187,Lincoln,Idaho,16,063,16063,5448,4.500000000000000,5208,4.300000000000000,4171,19,38,20,3,1476,844,113,2691,2517,450,505,446,429,293,706,601,627,578,304,199,70,32.000000000000000,32.200000000000003,31.699999999999999,1705,3.030000000000000,188,162,562,474,74,90,1271,3.520000000000000,1976,271,1215,490,310.000000000000000,418.000000000000000,72605.000000000000000,566509.000000000000000,1205.859999999999900,2.630094126240000,2.630094125377998,0.344784220988000
188,188,Twin Falls,Idaho,16,083,16083,85480,44.299999999999997,77230,40.100000000000001,68693,342,606,922,83,10570,4829,1755,38115,39115,6367,5919,5543,5616,5279,10450,8759,10002,8589,5653,3465,1588,34.399999999999999,33.700000000000003,35.299999999999997,28760,2.650000000000000,3069,3933,7050,8513,881,2061,19954,3.160000000000000,31072,2312,19123,9637,1294.000000000000000,374.000000000000000,275101.000000000000000,463354.000000000000000,1928.109999999999900,3.931781257680000,3.931781249414355,0.545670178259000
189,189,Cassia,Idaho,16,031,16031,24514,9.500000000000000,22952,8.900000000000000,18781,64,178,108,16,5724,3266,539,11612,11340,2144,2206,2016,1911,1245,2777,2584,2819,2296,1558,963,433,32.000000000000000,31.100000000000001,33.000000000000000,7666,2.960000000000000,739,907,2417,2247,255,503,5758,3.460000000000000,8372,706,5327,2339,668.000000000000000,915.000000000000000,333822.000000000000000,1427737.000000000000000,2580.170000000000073,3.889619338960000,3.889619337220826,0.729383402328000
